latest          , latest
23              , 23.1.2.115.1944
23.1            , 23.1.2.115.1944
23.1.2          , 23.1.2.115.1944
23.1.2.115.1944 , 23.1.2.115.1944
23.1.1          , 23.1.1.109.1003
23.1.1.109.1003 , 23.1.1.109.1003
23.1.0          , 23.1.0.086.1423
23.1.0.086.1423 , 23.1.0.086.1423
22              , 22.4.4.041.1526
22.4            , 22.4.4.041.1526
22.4.4          , 22.4.4.041.1526
22.4.4.041.1526 , 22.4.4.041.1526
22.4.3          , 22.4.3.033.1239
22.4.3.033.1239 , 22.4.3.033.1239
22.3            , 22.3.3.311.1929
22.3.3          , 22.3.3.311.1929
22.3.3.311.1929 , 22.3.3.311.1929
22.2            , 22.2.1.202.1302
22.2.1          , 22.2.1.202.1302
22.2.1.202.1302 , 22.2.1.202.1302
22.2.0          , 22.2.0.172.1758
22.2.0.172.1758 , 22.2.0.172.1758
22.1            , 22.1.1.133.1148
22.1.1          , 22.1.1.133.1148
22.1.1.133.1148 , 22.1.1.133.1148
22.1.0          , 22.1.0.105.1723
22.1.0.105.1723 , 22.1.0.105.1723
21              , 21.4.3.117.0405
21.4            , 21.4.3.117.0405
21.4.3          , 21.4.3.117.0405
21.4.3.117.0405 , 21.4.3.117.0405
21.4.2          , 21.4.2.062.1806
21.4.2.062.1806 , 21.4.2.062.1806
21.4.1          , 21.4.1.025.0904
21.4.1.025.0904 , 21.4.1.025.0904
21.4.0          , 21.4.0.348.1956
21.4.0.348.1956 , 21.4.0.348.1956
21.3            , 21.3.1.301.2050
21.3.1          , 21.3.1.301.2050
21.3.1.301.2050 , 21.3.1.301.2050
21.3.0          , 21.3.0.266.1100
21.3.0.266.1100 , 21.3.0.266.1100
